Date,Team,fuckYOIU,WinLoss,
2017/11/7,NYK,0.10123224,W,0.338636306
2017/11/7,MEM,0.149796236,W,0.498779551
2017/11/7,POR,0.1505293,L,0.501220449
2017/11/7,OKC,0.279406093,L,0.874227836
2017/11/7,SAC,0.040197198,W,0.125772164
2017/11/7,LAC,0.194600419,L,0.766193708
2017/11/7,SAS,0.059382897,W,0.233806292
2017/11/7,CHI,0.042944557,L,0.181012654
2017/11/7,TOR,0.194301602,W,0.818987346
2017/11/7,PHI,0.029978078,W,0.159581609
2017/11/7,UTA,0.157876137,L,0.840418391
2017/11/7,DAL,0.042140403,W,0.167375516
2017/11/7,WAS,0.209631206,L,0.832624484
2017/11/8,LAL,0.039401808,L,0.426156125
2017/11/8,BOS,0.053056814,W,0.573843875
2017/11/8,IND,0.090886413,L,0.42307076
2017/11/8,DET,0.123939147,W,0.57692924
2017/11/8,MIN,0.337439288,L,0.610032756
2017/11/8,GSW,0.21571017,W,0.389967244
2017/11/8,NYK,0.12217993,L,0.498228761
2017/11/8,ORL,0.123048647,W,0.501771239
2017/11/8,MIA,0.227200654,W,0.834935732
2017/11/8,PHX,0.044916882,L,0.165064268
2017/11/9,OKC,0.279406093,L,0.593444875
2017/11/9,DEN,0.191414542,W,0.406555125
2017/11/9,CLE,0.181735081,L,0.438910338
2017/11/9,HOU,0.232324615,W,0.561089662
2017/11/9,PHI,0.029922554,L,0.431632357
2017/11/9,SAC,0.039401614,W,0.568367643
2017/11/9,NOR,0.259905173,L,0.571798763
2017/11/9,TOR,0.194634413,W,0.428201237
2017/11/9,LAL,0.039401808,L,0.158554359
2017/11/9,WAS,0.209104812,W,0.841445641
2017/11/10,CHA,0.197708653,L,0.788420573
2017/11/10,BOS,0.053056814,W,0.211579427
2017/11/10,IND,0.096554807,W,0.679841277
2017/11/10,CHI,0.045470707,L,0.320158723
2017/11/10,ATL,0.054772812,L,0.306300542
2017/11/10,DET,0.124047675,W,0.693699458
2017/11/10,LAC,0.192911181,L,0.369437504
2017/11/10,OKC,0.329264232,W,0.630562496
2017/11/10,ORL,0.035443036,W,0.429953976
2017/11/10,PHX,0.046991452,L,0.570046024
2017/11/10,BKN,0.03457872,W,0.186963903
2017/11/10,POR,0.150369922,L,0.813036097
2017/11/10,MIL,0.206151226,W,0.769312906
2017/11/10,SAS,0.061816755,L,0.230687094
2017/11/10,MIA,0.238546645,W,0.602077438
2017/11/10,UTA,0.157659275,L,0.397922562
2017/11/11,CLE,0.181735081,W,0.791498513
2017/11/11,DAL,0.047873791,L,0.208501487
2017/11/11,ORL,0.035443036,L,0.150357616
